mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1745128631591797,0.03498213889491539,0.03602776527404785,0.007162217803273101,,sqrt,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7169811320754716,0.6095238095238096,0.7962962962962963,0.7818181818181819,0.7222222222222222,0.7253683283871963,0.06590532327628221,19
0.3340626239776611,0.10496932844383834,0.042844629287719725,0.006932480950265886,,sqrt,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7037037037037037,0.5981308411214953,0.7818181818181819,0.8037383177570093,0.7222222222222222,0.7219226533245224,0.07202459290462392,21
0.4472047805786133,0.02632998947948828,0.055313730239868165,0.00601484164581177,,sqrt,300,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.7037037037037037,0.5981308411214953,0.7818181818181819,0.8037383177570093,0.7222222222222222,0.7219226533245224,0.07202459290462392,21
0.18236513137817384,0.07210703485431547,0.03937840461730957,0.020413866968895564,,log2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7169811320754716,0.6095238095238096,0.7962962962962963,0.7818181818181819,0.7222222222222222,0.7253683283871963,0.06590532327628221,19
0.27878384590148925,0.03185781953457913,0.04877171516418457,0.013563244350731422,,log2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7037037037037037,0.5981308411214953,0.7818181818181819,0.8037383177570093,0.7222222222222222,0.7219226533245224,0.07202459290462392,21
0.42846078872680665,0.060841639835094934,0.05447783470153809,0.006521326847653067,,log2,300,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 300}",0.7037037037037037,0.5981308411214953,0.7818181818181819,0.8037383177570093,0.7222222222222222,0.7219226533245224,0.07202459290462392,21
0.1752248764038086,0.026579638480807525,0.025831031799316406,0.004464528586815263,4,sqrt,100,"{'classifier__max_depth': 4, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7358490566037735,0.6736842105263158,0.7735849056603774,0.7766990291262136,0.7326732673267327,0.7384980938486827,0.03723487959655169,7
0.3136904716491699,0.026690788554467302,0.037997198104858396,0.007881030558054542,4,sqrt,200,"{'classifier__max_depth': 4, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.75,0.6595744680851063,0.7850467289719626,0.7692307692307693,0.72,0.7367703932575675,0.04427134523850772,9
0.40067062377929685,0.09019126709205222,0.05499839782714844,0.00904592518861082,4,sqrt,300,"{'classifier__max_depth': 4, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.7358490566037735,0.6451612903225806,0.7850467289719626,0.7692307692307693,0.7326732673267327,0.7335922224911637,0.048463676694828345,15
0.16030097007751465,0.01464499471376134,0.02803497314453125,0.004983390118665044,4,log2,100,"{'classifier__max_depth': 4, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7358490566037735,0.6736842105263158,0.7735849056603774,0.7766990291262136,0.7326732673267327,0.7384980938486827,0.03723487959655169,7
0.23854341506958007,0.03734619464110083,0.035621118545532224,0.0033833360975456675,4,log2,200,"{'classifier__max_depth': 4, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.75,0.6595744680851063,0.7850467289719626,0.7692307692307693,0.72,0.7367703932575675,0.04427134523850772,9
0.3790597438812256,0.0030418283611156494,0.04933290481567383,0.005339402692310538,4,log2,300,"{'classifier__max_depth': 4, 'classifier__max_features': 'log2', 'classifier__n_estimators': 300}",0.7358490566037735,0.6451612903225806,0.7850467289719626,0.7692307692307693,0.7326732673267327,0.7335922224911637,0.048463676694828345,15
0.1784578800201416,0.06559880791792139,0.027419185638427733,0.01000661248742586,6,sqrt,100,"{'classifier__max_depth': 6, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.74,0.6373626373626373,0.7850467289719626,0.7735849056603774,0.7346938775510204,0.7341376299091995,0.05205362601871152,13
0.3123328685760498,0.013885482225435277,0.03219561576843262,0.007440594898871794,6,sqrt,200,"{'classifier__max_depth': 6, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7326732673267327,0.6373626373626373,0.7924528301886793,0.7572815533980582,0.7422680412371134,0.7324076659026442,0.05168169314040566,17
0.3560023784637451,0.020954674176604855,0.0625497817993164,0.008700239988487636,6,sqrt,300,"{'classifier__max_depth': 6, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.7326732673267327,0.6373626373626373,0.8,0.7692307692307693,0.7422680412371134,0.7363069430314505,0.05473481114031544,11
0.18612189292907716,0.020516825464970585,0.02842426300048828,0.00372235371775569,6,log2,100,"{'classifier__max_depth': 6, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.74,0.6373626373626373,0.7850467289719626,0.7735849056603774,0.7346938775510204,0.7341376299091995,0.05205362601871152,13
0.32096042633056643,0.04994499362588937,0.04160985946655273,0.00730623774539179,6,log2,200,"{'classifier__max_depth': 6, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7326732673267327,0.6373626373626373,0.7924528301886793,0.7572815533980582,0.7422680412371134,0.7324076659026442,0.05168169314040566,17
0.3517441749572754,0.019771069132833212,0.046947479248046875,0.0027062774638956883,6,log2,300,"{'classifier__max_depth': 6, 'classifier__max_features': 'log2', 'classifier__n_estimators': 300}",0.7326732673267327,0.6373626373626373,0.8,0.7692307692307693,0.7422680412371134,0.7363069430314505,0.05473481114031544,11
0.15403003692626954,0.02262165668708331,0.02507438659667969,0.006156684585910548,8,sqrt,100,"{'classifier__max_depth': 8, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7326732673267327,0.6595744680851063,0.7962962962962963,0.7961165048543689,0.7572815533980582,0.7483884179921125,0.05057095331315764,1
0.257354211807251,0.020900432154149648,0.038086462020874026,0.006347217047078756,8,sqrt,200,"{'classifier__max_depth': 8, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7326732673267327,0.6451612903225806,0.7889908256880734,0.7766990291262136,0.7572815533980582,0.7401611931723318,0.05117324257266709,3
0.40661044120788575,0.029954495815532847,0.03801693916320801,0.0012366641718510665,8,sqrt,300,"{'classifier__max_depth': 8, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.7326732673267327,0.6382978723404256,0.7889908256880734,0.780952380952381,0.7572815533980582,0.7396391799411342,0.054354766896185965,5
0.15462489128112794,0.01228072343006657,0.030612373352050783,0.004907816568996662,8,log2,100,"{'classifier__max_depth': 8, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7326732673267327,0.6595744680851063,0.7962962962962963,0.7961165048543689,0.7572815533980582,0.7483884179921125,0.05057095331315764,1
0.2693650245666504,0.012441821494235263,0.052111244201660155,0.014769865384994002,8,log2,200,"{'classifier__max_depth': 8, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7326732673267327,0.6451612903225806,0.7889908256880734,0.7766990291262136,0.7572815533980582,0.7401611931723318,0.05117324257266709,3
0.36912360191345217,0.02779444688705785,0.03666410446166992,0.007178745457495979,8,log2,300,"{'classifier__max_depth': 8, 'classifier__max_features': 'log2', 'classifier__n_estimators': 300}",0.7326732673267327,0.6382978723404256,0.7889908256880734,0.780952380952381,0.7572815533980582,0.7396391799411342,0.054354766896185965,5
